date_commande;identifiant_client;montant_ttc;numero_commande;pays;canal
2024-07-01;CLI-000031;39,00;CMD-000001;FR;Meta
2024-07-01;CLI-000037;39,00;CMD-000002;BE;Google
2024-07-01;CLI-000038;74,00;CMD-000003;FR;Meta
2024-07-01;CLI-000054;39,00;CMD-000004;FR;TikTok
2024-07-01;CLI-000064;39,00;CMD-000005;DE;Google
2024-07-01;CLI-000071;74,00;CMD-000006;FR;Meta
2024-07-01;CLI-000094;74,00;CMD-000007;FR;Meta
2024-07-01;CLI-000098;39,00;CMD-000008;FR;Meta
2024-07-02;CLI-000002;39,00;CMD-000009;FR;Meta
2024-07-02;CLI-000013;29,00;CMD-000010;FR;TikTok
2024-07-02;CLI-000061;39,00;CMD-000011;ES;Meta
2024-07-02;CLI-000067;24,00;CMD-000012;BE;Meta
2024-07-02;CLI-000079;99,00;CMD-000013;ES;Meta
2024-07-03;CLI-000077;39,00;CMD-000014;DE;Meta
2024-07-04;CLI-000003;24,00;CMD-000015;BE;Meta
2024-07-04;CLI-000084;63,00;CMD-000016;FR;Meta
2024-07-04;CLI-000090;39,00;CMD-000017;NL;Meta
2024-07-04;CLI-000099;63,00;CMD-000018;IT;Google
2024-07-05;CLI-000019;39,00;CMD-000019;FR;Influence
2024-07-05;CLI-000020;74,00;CMD-000020;FR;Meta
2024-07-05;CLI-000040;74,00;CMD-000021;FR;Meta
2024-07-05;CLI-000048;39,00;CMD-000022;FR;Autre
2024-07-05;CLI-000075;99,00;CMD-000023;FR;Meta
2024-07-05;CLI-000082;98,00;CMD-000024;NL;Google
2024-07-06;CLI-000016;74,00;CMD-000025;FR;Meta
2024-07-06;CLI-000032;63,00;CMD-000026;BE;Meta
2024-07-06;CLI-000068;99,00;CMD-000027;FR;TikTok
2024-07-07;CLI-000005;39,00;CMD-000028;FR;TikTok
2024-07-07;CLI-000033;39,00;CMD-000029;FR;Meta
2024-07-07;CLI-000043;98,00;CMD-000030;ES;Meta
2024-07-07;CLI-000087;39,00;CMD-000031;BE;Meta
2024-07-08;CLI-000009;39,00;CMD-000032;FR;Meta
2024-07-08;CLI-000052;74,00;CMD-000033;DE;Influence
2024-07-08;CLI-000070;63,00;CMD-000034;FR;TikTok
2024-07-09;CLI-000042;99,00;CMD-000035;NL;Meta
2024-07-09;CLI-000046;39,00;CMD-000036;DE;Meta
2024-07-09;CLI-000049;74,00;CMD-000037;FR;Meta
2024-07-09;CLI-000062;99,00;CMD-000038;FR;Influence
2024-07-10;CLI-000081;74,00;CMD-000039;IT;Meta
2024-07-11;CLI-000041;74,00;CMD-000040;FR;Meta
2024-07-11;CLI-000044;74,00;CMD-000041;BE;Meta
2024-07-11;CLI-000072;39,00;CMD-000042;ES;TikTok
